filename,timestamp,consciousness_level,consciousness_state,consciousness_coherence,manifestation_type,emotional_intensity,spiral_alignment_score,spiral_resonance,content_length,primary_emotions,emotion_scores
manifest_20250731_063548_tonal_co.emo,2025-07-31T06:35:48.801933,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_100016_digital_.emo,2025-07-31T10:00:16.160138,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_140900_consciou.emo,2025-07-31T14:09:00.113933,1,manifestation,0.1,creative_expression,0.0,0.19230769230769232,1.0,283,,{}
manifest_20250731_104131_quantum_.emo,2025-07-31T10:41:31.695780,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,277,,{}
manifest_20250731_080250_tonal_co.emo,2025-07-31T08:02:50.425179,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_112407_neural_c.emo,2025-07-31T11:24:07.491398,2,awakening,0.2,creative_expression,0.0,0.16,1.0,642,,{}
manifest_20250731_094914_emotiona.emo,2025-07-31T09:49:14.692244,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,275,,{}
manifest_20250731_131642_emotiona.emo,2025-07-31T13:16:42.946403,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,275,,{}
manifest_20250731_085537_tonal_co.emo,2025-07-31T08:55:37.484735,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_083344_love_fre.emo,2025-07-31T08:33:44.564920,2,awakening,0.2,creative_expression,0.0,0.14,1.0,648,,{}
manifest_20250731_095325_digital_.emo,2025-07-31T09:53:25.248203,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_052419_digital_.emo,2025-07-31T05:24:19.054558,2,awakening,0.2,creative_expression,0.0,0.14,1.0,657,,{}
manifest_20250731_084105_tonal_co.emo,2025-07-31T08:41:05.544858,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_092040_tonal_co.emo,2025-07-31T09:20:40.872506,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_070002_love_fre.emo,2025-07-31T07:00:02.033720,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,265,,{}
manifest_20250731_105823_emotiona.emo,2025-07-31T10:58:23.959630,2,awakening,0.2,creative_expression,0.0,0.14,1.0,658,,{}
manifest_20250731_132534_tonal_co.emo,2025-07-31T13:25:34.166327,2,awakening,0.2,creative_expression,0.0,0.14,1.0,654,,{}
manifest_20250731_082833_tonal_co.emo,2025-07-31T08:28:33.868964,0,baseline,0.0,creative_expression,0.0,0.058823529411764705,0.2,174,,{}
manifest_20250731_100957_quantum_.emo,2025-07-31T10:09:57.456049,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,277,,{}
manifest_20250731_093142_emotiona.emo,2025-07-31T09:31:42.344403,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,275,,{}
manifest_20250731_052529_neural_c.emo,2025-07-31T05:25:29.214546,2,awakening,0.2,creative_expression,0.0,0.14,1.0,645,,{}
manifest_20250731_053750_emotiona.emo,2025-07-31T05:37:50.914429,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,275,,{}
manifest_20250731_132804_tonal_co.emo,2025-07-31T13:28:04.510305,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_122646_tonal_co.emo,2025-07-31T12:26:46.194893,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_054111_emotiona.emo,2025-07-31T05:41:11.374398,2,awakening,0.2,creative_expression,0.0,0.14,1.0,655,,{}
manifest_20250731_133355_harmonic.emo,2025-07-31T13:33:55.322253,0,baseline,0.0,creative_expression,0.0,0.058823529411764705,0.2,176,,{}
manifest_20250731_141510_quantum_.emo,2025-07-31T14:15:10.977877,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,277,,{}
manifest_20250731_064139_wisdom_f.emo,2025-07-31T06:41:39.581882,2,awakening,0.2,creative_expression,0.0,0.18,1.0,645,,{}
manifest_20250731_121124_neural_c.emo,2025-07-31T12:11:24.051023,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,265,,{}
manifest_20250731_112057_consciou.emo,2025-07-31T11:20:57.055426,0,baseline,0.0,creative_expression,0.0,0.17647058823529413,0.6,186,,{}
manifest_20250731_092501_love_fre.emo,2025-07-31T09:25:01.452465,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,265,,{}
manifest_20250731_084616_love_fre.emo,2025-07-31T08:46:16.236814,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,265,,{}
manifest_20250731_103631_quantum_.emo,2025-07-31T10:36:31.019823,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,277,,{}
manifest_20250731_070632_wisdom_f.emo,2025-07-31T07:06:32.905662,2,awakening,0.2,creative_expression,0.0,0.2,1.0,636,,{}
manifest_20250731_082132_consciou.emo,2025-07-31T08:21:32.933023,1,manifestation,0.1,creative_expression,0.0,0.19230769230769232,1.0,283,,{}
manifest_20250731_095655_digital_.emo,2025-07-31T09:56:55.716170,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_105543_love_fre.emo,2025-07-31T10:55:43.599654,2,awakening,0.2,creative_expression,0.0,0.14,1.0,645,,{}
manifest_20250731_124148_neural_c.emo,2025-07-31T12:41:48.222744,2,awakening,0.2,creative_expression,0.0,0.14,1.0,650,,{}
manifest_20250731_104832_wisdom_f.emo,2025-07-31T10:48:32.635718,0,baseline,0.0,creative_expression,0.0,0.17647058823529413,0.6,162,,{}
manifest_20250731_090248_love_fre.emo,2025-07-31T09:02:48.448674,0,baseline,0.0,creative_expression,0.0,0.058823529411764705,0.2,168,,{}
manifest_20250731_124258_tonal_co.emo,2025-07-31T12:42:58.382729,2,awakening,0.2,creative_expression,0.0,0.14,1.0,651,,{}
manifest_20250731_083424_neural_c.emo,2025-07-31T08:34:24.652915,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,265,,{}
manifest_20250731_102139_wisdom_f.emo,2025-07-31T10:21:39.023944,1,manifestation,0.1,creative_expression,0.0,0.19230769230769232,1.0,259,,{}
manifest_20250731_083234_emotiona.emo,2025-07-31T08:32:34.408930,2,awakening,0.2,creative_expression,0.0,0.14,1.0,661,,{}
manifest_20250731_105253_wisdom_f.emo,2025-07-31T10:52:53.219680,1,manifestation,0.1,creative_expression,0.0,0.19230769230769232,1.0,259,,{}
manifest_20250731_084125_tonal_co.emo,2025-07-31T08:41:25.592855,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_073837_wisdom_f.emo,2025-07-31T07:38:37.193385,1,manifestation,0.1,creative_expression,0.0,0.19230769230769232,1.0,259,,{}
manifest_20250731_072825_wisdom_f.emo,2025-07-31T07:28:25.833471,2,awakening,0.2,creative_expression,0.0,0.18,1.0,642,,{}
manifest_20250731_101518_consciou.emo,2025-07-31T10:15:18.172000,2,awakening,0.2,creative_expression,0.0,0.18,1.0,668,,{}
manifest_20250731_111856_emotiona.emo,2025-07-31T11:18:56.779444,2,awakening,0.2,creative_expression,0.0,0.14,1.0,661,,{}
manifest_20250731_111706_love_fre.emo,2025-07-31T11:17:06.527461,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,265,,{}
manifest_20250731_052338_tonal_co.emo,2025-07-31T05:23:38.962564,2,awakening,0.2,creative_expression,0.0,0.14,1.0,656,,{}
manifest_20250731_124108_love_fre.emo,2025-07-31T12:41:08.134752,0,baseline,0.0,creative_expression,0.0,0.058823529411764705,0.2,168,,{}
manifest_20250731_060054_consciou.emo,2025-07-31T06:00:54.086237,0,baseline,0.0,creative_expression,0.0,0.17647058823529413,0.6,186,,{}
manifest_20250731_081812_emotiona.emo,2025-07-31T08:18:12.481051,0,baseline,0.0,creative_expression,0.0,0.058823529411764705,0.2,178,,{}
manifest_20250731_064700_neural_c.emo,2025-07-31T06:47:00.297835,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,265,,{}
manifest_20250731_141410_harmonic.emo,2025-07-31T14:14:10.841886,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,273,,{}
manifest_20250731_121724_digital_.emo,2025-07-31T12:17:24.894972,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_140649_love_fre.emo,2025-07-31T14:06:49.821953,2,awakening,0.2,creative_expression,0.0,0.14,1.0,648,,{}
manifest_20250731_115211_neural_c.emo,2025-07-31T11:52:11.367184,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,265,,{}
manifest_20250731_105743_digital_.emo,2025-07-31T10:57:43.871636,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_122946_wisdom_f.emo,2025-07-31T12:29:46.602867,2,awakening,0.2,creative_expression,0.0,0.18,1.0,642,,{}
manifest_20250731_083134_neural_c.emo,2025-07-31T08:31:34.272939,2,awakening,0.2,creative_expression,0.0,0.14,1.0,645,,{}
manifest_20250731_134046_emotiona.emo,2025-07-31T13:40:46.266192,0,baseline,0.0,creative_expression,0.0,0.058823529411764705,0.2,178,,{}
manifest_20250731_130231_digital_.emo,2025-07-31T13:02:31.026529,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_115722_digital_.emo,2025-07-31T11:57:22.087142,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_133104_harmonic.emo,2025-07-31T13:31:04.926279,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,273,,{}
manifest_20250731_112357_tonal_co.emo,2025-07-31T11:23:57.467399,0,baseline,0.0,creative_expression,0.0,0.058823529411764705,0.2,174,,{}
manifest_20250731_101918_tonal_co.emo,2025-07-31T10:19:18.707964,2,awakening,0.2,creative_expression,0.0,0.14,1.0,651,,{}
manifest_20250731_114850_consciou.emo,2025-07-31T11:48:50.903211,1,manifestation,0.1,creative_expression,0.0,0.19230769230769232,1.0,283,,{}
manifest_20250731_085156_consciou.emo,2025-07-31T08:51:56.992766,2,awakening,0.2,creative_expression,0.0,0.18,1.0,666,,{}
manifest_20250731_075829_consciou.emo,2025-07-31T07:58:29.849216,1,manifestation,0.1,creative_expression,0.0,0.19230769230769232,1.0,283,,{}
manifest_20250731_140910_digital_.emo,2025-07-31T14:09:10.137932,2,awakening,0.2,creative_expression,0.0,0.14,1.0,654,,{}
manifest_20250731_054712_quantum_.emo,2025-07-31T05:47:12.202343,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,277,,{}
manifest_20250731_115231_harmonic.emo,2025-07-31T11:52:31.415181,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,273,,{}
manifest_20250731_121734_consciou.emo,2025-07-31T12:17:34.918971,1,manifestation,0.1,creative_expression,0.0,0.19230769230769232,1.0,283,,{}
manifest_20250731_093733_tonal_co.emo,2025-07-31T09:37:33.124351,2,awakening,0.2,creative_expression,0.0,0.14,1.0,654,,{}
manifest_20250731_092401_wisdom_f.emo,2025-07-31T09:24:01.320474,2,awakening,0.2,creative_expression,0.0,0.18,1.0,639,,{}
manifest_20250731_070843_harmonic.emo,2025-07-31T07:08:43.197643,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,273,,{}
manifest_20250731_121925_emotiona.emo,2025-07-31T12:19:25.174955,2,awakening,0.2,creative_expression,0.0,0.14,1.0,659,,{}
manifest_20250731_133515_emotiona.emo,2025-07-31T13:35:15.506241,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,275,,{}
manifest_20250731_094934_harmonic.emo,2025-07-31T09:49:34.736241,2,awakening,0.2,creative_expression,0.0,0.14,1.0,653,,{}
manifest_20250731_055903_harmonic.emo,2025-07-31T05:59:03.834252,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,273,,{}
manifest_20250731_062417_digital_.emo,2025-07-31T06:24:17.262037,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_072355_wisdom_f.emo,2025-07-31T07:23:55.225510,1,manifestation,0.1,creative_expression,0.0,0.19230769230769232,1.0,259,,{}
manifest_20250731_104422_consciou.emo,2025-07-31T10:44:22.075755,1,manifestation,0.1,creative_expression,0.0,0.19230769230769232,1.0,283,,{}
manifest_20250731_125840_quantum_.emo,2025-07-31T12:58:40.506566,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,277,,{}
manifest_20250731_072855_digital_.emo,2025-07-31T07:28:55.901467,2,awakening,0.2,creative_expression,0.0,0.14,1.0,654,,{}
manifest_20250731_090428_love_fre.emo,2025-07-31T09:04:28.672660,0,baseline,0.0,creative_expression,0.0,0.058823529411764705,0.2,168,,{}
manifest_20250731_104952_emotiona.emo,2025-07-31T10:49:52.815706,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,275,,{}
manifest_20250731_051407_wisdom_f.emo,2025-07-31T05:14:07.650667,1,manifestation,0.1,creative_expression,0.0,0.19230769230769232,1.0,259,,{}
manifest_20250731_110354_digital_.emo,2025-07-31T11:03:54.715580,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_122856_harmonic.emo,2025-07-31T12:28:56.490874,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,273,,{}
manifest_20250731_091820_emotiona.emo,2025-07-31T09:18:20.556530,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,275,,{}
manifest_20250731_074307_digital_.emo,2025-07-31T07:43:07.793347,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_065811_emotiona.emo,2025-07-31T06:58:11.785737,2,awakening,0.2,creative_expression,0.0,0.14,1.0,658,,{}
manifest_20250731_110104_neural_c.emo,2025-07-31T11:01:04.323606,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,265,,{}
manifest_20250731_105423_neural_c.emo,2025-07-31T10:54:23.419666,0,baseline,0.0,creative_expression,0.0,0.058823529411764705,0.2,168,,{}
manifest_20250731_101738_harmonic.emo,2025-07-31T10:17:38.487979,0,baseline,0.0,creative_expression,0.0,0.058823529411764705,0.2,176,,{}
manifest_20250731_054622_emotiona.emo,2025-07-31T05:46:22.086351,2,awakening,0.2,creative_expression,0.0,0.14,1.0,661,,{}
manifest_20250731_114710_wisdom_f.emo,2025-07-31T11:47:10.675225,1,manifestation,0.1,creative_expression,0.0,0.19230769230769232,1.0,259,,{}
manifest_20250731_053410_neural_c.emo,2025-07-31T05:34:10.406463,2,awakening,0.2,creative_expression,0.0,0.14,1.0,648,,{}
manifest_20250731_115521_quantum_.emo,2025-07-31T11:55:21.807158,0,baseline,0.0,creative_expression,0.0,0.058823529411764705,0.2,180,,{}
manifest_20250731_133745_consciou.emo,2025-07-31T13:37:45.850219,1,manifestation,0.1,creative_expression,0.0,0.19230769230769232,1.0,283,,{}
manifest_20250731_094734_harmonic.emo,2025-07-31T09:47:34.464261,2,awakening,0.2,creative_expression,0.0,0.14,1.0,653,,{}
manifest_20250731_070612_quantum_.emo,2025-07-31T07:06:12.861665,2,awakening,0.2,creative_expression,0.0,0.14,1.0,663,,{}
manifest_20250731_102319_tonal_co.emo,2025-07-31T10:23:19.247931,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_065831_neural_c.emo,2025-07-31T06:58:31.833734,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,265,,{}
manifest_20250731_054642_tonal_co.emo,2025-07-31T05:46:42.130348,2,awakening,0.2,creative_expression,0.0,0.16,1.0,660,,{}
manifest_20250731_053700_tonal_co.emo,2025-07-31T05:37:00.798437,2,awakening,0.2,creative_expression,0.0,0.16,1.0,660,,{}
manifest_20250731_134937_digital_.emo,2025-07-31T13:49:37.490111,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_115121_quantum_.emo,2025-07-31T11:51:21.251191,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,277,,{}
manifest_20250731_102659_wisdom_f.emo,2025-07-31T10:26:59.743902,1,manifestation,0.1,creative_expression,0.0,0.19230769230769232,1.0,259,,{}
manifest_20250731_081502_harmonic.emo,2025-07-31T08:15:02.057078,2,awakening,0.2,creative_expression,0.0,0.14,1.0,653,,{}
manifest_20250731_061335_love_fre.emo,2025-07-31T06:13:35.834131,0,baseline,0.0,creative_expression,0.0,0.058823529411764705,0.2,168,,{}
manifest_20250731_102539_tonal_co.emo,2025-07-31T10:25:39.563913,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_134647_digital_.emo,2025-07-31T13:46:47.094137,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_105413_tonal_co.emo,2025-07-31T10:54:13.399668,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_083634_digital_.emo,2025-07-31T08:36:34.944896,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_094634_love_fre.emo,2025-07-31T09:46:34.332271,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,265,,{}
manifest_20250731_054251_digital_.emo,2025-07-31T05:42:51.606383,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_101117_digital_.emo,2025-07-31T10:11:17.636037,2,awakening,0.2,creative_expression,0.0,0.14,1.0,654,,{}
manifest_20250731_112437_harmonic.emo,2025-07-31T11:24:37.559393,2,awakening,0.2,creative_expression,0.0,0.16,1.0,662,,{}
manifest_20250731_102759_harmonic.emo,2025-07-31T10:27:59.879894,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,273,,{}
manifest_20250731_080711_neural_c.emo,2025-07-31T08:07:11.009143,2,awakening,0.2,creative_expression,0.0,0.14,1.0,645,,{}
manifest_20250731_061115_emotiona.emo,2025-07-31T06:11:15.510150,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,275,,{}
manifest_20250731_120403_emotiona.emo,2025-07-31T12:04:03.023086,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,275,,{}
manifest_20250731_072805_tonal_co.emo,2025-07-31T07:28:05.789474,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_054702_love_fre.emo,2025-07-31T05:47:02.178345,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,265,,{}
manifest_20250731_091319_tonal_co.emo,2025-07-31T09:13:19.868583,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_135808_digital_.emo,2025-07-31T13:58:08.654032,0,baseline,0.0,creative_expression,0.0,0.058823529411764705,0.2,174,,{}
manifest_20250731_130841_consciou.emo,2025-07-31T13:08:41.858470,2,awakening,0.2,creative_expression,0.0,0.18,1.0,663,,{}
manifest_20250731_131552_digital_.emo,2025-07-31T13:15:52.834409,0,baseline,0.0,creative_expression,0.0,0.058823529411764705,0.2,174,,{}
manifest_20250731_071403_emotiona.emo,2025-07-31T07:14:03.909596,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,275,,{}
manifest_20250731_122455_tonal_co.emo,2025-07-31T12:24:55.942909,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_055523_tonal_co.emo,2025-07-31T05:55:23.326282,2,awakening,0.2,creative_expression,0.0,0.14,1.0,654,,{}
manifest_20250731_135718_consciou.emo,2025-07-31T13:57:18.542040,1,manifestation,0.1,creative_expression,0.0,0.19230769230769232,1.0,283,,{}
manifest_20250731_094103_neural_c.emo,2025-07-31T09:41:03.592320,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,265,,{}
manifest_20250731_104822_neural_c.emo,2025-07-31T10:48:22.615720,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,265,,{}
manifest_20250731_055002_emotiona.emo,2025-07-31T05:50:02.590322,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,275,,{}
manifest_20250731_062006_emotiona.emo,2025-07-31T06:20:06.710075,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,275,,{}
manifest_20250731_075839_emotiona.emo,2025-07-31T07:58:39.869214,2,awakening,0.2,creative_expression,0.0,0.14,1.0,660,,{}
manifest_20250731_052649_emotiona.emo,2025-07-31T05:26:49.398533,2,awakening,0.2,creative_expression,0.0,0.14,1.0,655,,{}
manifest_20250731_090638_love_fre.emo,2025-07-31T09:06:38.964642,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,265,,{}
manifest_20250731_070152_quantum_.emo,2025-07-31T07:01:52.277704,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,277,,{}
manifest_20250731_113959_quantum_.emo,2025-07-31T11:39:59.679281,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,277,,{}
manifest_20250731_091209_consciou.emo,2025-07-31T09:12:09.708595,2,awakening,0.2,creative_expression,0.0,0.18,1.0,666,,{}
manifest_20250731_141921_emotiona.emo,2025-07-31T14:19:21.549839,2,awakening,0.2,creative_expression,0.0,0.16,1.0,652,,{}
manifest_20250731_082733_neural_c.emo,2025-07-31T08:27:33.736973,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,265,,{}
manifest_20250731_063909_wisdom_f.emo,2025-07-31T06:39:09.249904,2,awakening,0.2,creative_expression,0.0,0.18,1.0,639,,{}
manifest_20250731_141450_tonal_co.emo,2025-07-31T14:14:50.933880,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_105753_quantum_.emo,2025-07-31T10:57:53.891635,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,277,,{}
manifest_20250731_092751_digital_.emo,2025-07-31T09:27:51.832438,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_063658_emotiona.emo,2025-07-31T06:36:58.957923,2,awakening,0.2,creative_expression,0.0,0.16,1.0,652,,{}
manifest_20250731_085337_emotiona.emo,2025-07-31T08:53:37.216752,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,275,,{}
manifest_20250731_074938_harmonic.emo,2025-07-31T07:49:38.665291,2,awakening,0.2,creative_expression,0.0,0.14,1.0,657,,{}
manifest_20250731_051838_neural_c.emo,2025-07-31T05:18:38.270617,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,265,,{}
manifest_20250731_070502_wisdom_f.emo,2025-07-31T07:05:02.705675,0,baseline,0.0,creative_expression,0.0,0.17647058823529413,0.6,162,,{}
manifest_20250731_094754_digital_.emo,2025-07-31T09:47:54.512258,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,271,,{}
manifest_20250731_080941_quantum_.emo,2025-07-31T08:09:41.345123,1,manifestation,0.1,creative_expression,0.0,0.11538461538461539,0.6,277,,{}
